modelo,nivel,banco,protocolo,semillas,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
anillo,2,imagen_test,pizarron,1,0.81875,0.18125,0.0,nan,0.0,1.0,0.5799998131656853,5.0,2.321928094887362
anillo,3,texto_formacion,directo,1,0.85,0.0421875,0.1078125,0.0,0.0,1.0,0.25,7.0,2.7949127284876405
anillo,3,texto_formacion,encadenado,1,0.8921875,0.0,0.1078125,0.0,0.042187500000000044,nan,0.25,7.0,2.7949127284876405
anillo,3,texto_formacion,pizarron,1,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.25,7.0,2.7949127284876405
anillo,3,texto_reservado,directo,1,0.8252923976608187,0.06432748538011696,0.11038011695906433,0.12582781456953643,0.0,1.0,0.25,7.0,2.7949127284876405
anillo,3,texto_reservado,encadenado,1,0.8888888888888888,0.0,0.1111111111111111,0.0,0.06432748538011701,nan,0.25,7.0,2.7949127284876405
anillo,3,texto_reservado,pizarron,1,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.25,7.0,2.7949127284876405
anillo,3,imagen_test,directo,1,0.71640625,0.28359375,0.0,nan,0.0,1.0,0.25,7.0,2.8073549220576037
anillo,3,imagen_test,encadenado,1,0.81875,0.18125,0.0,nan,0.125,8.0,0.25,7.0,2.8073549220576037
anillo,3,imagen_test,pizarron,1,0.81875,0.18125,0.0,nan,0.0,1.0,0.25,7.0,2.8073549220576037
anillo,4,texto_formacion,directo,1,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.0,8.0,2.987316874979805
anillo,4,texto_formacion,encadenado,1,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.0,8.0,2.987316874979805
anillo,4,texto_formacion,pizarron,1,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.0,8.0,2.987316874979805
anillo,4,texto_reservado,directo,1,0.935672514619883,0.0,0.06432748538011696,0.2727272727272727,0.0,nan,0.0,8.0,2.987316874979805
anillo,4,texto_reservado,encadenado,1,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.0,8.0,2.987316874979805
anillo,4,texto_reservado,pizarron,1,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.0,8.0,2.987316874979805
anillo,4,imagen_test,directo,1,0.81875,0.18125,0.0,nan,0.0,1.0,0.0,8.0,3.0
anillo,4,imagen_test,encadenado,1,0.81875,0.18125,0.0,nan,0.0,8.0,0.0,8.0,3.0
anillo,4,imagen_test,pizarron,1,0.81875,0.18125,0.0,nan,0.0,1.0,0.0,8.0,3.0
