modelo,nivel,semilla,banco,protocolo,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,n,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
azar,0.015625,44,texto_reservado,directo,0.22660818713450293,0.6615497076023392,0.1118421052631579,0.10457516339869281,0.0,1.0,1368,0.8751902435263277,6.375,0.6286817023048092
azar,0.015625,44,texto_reservado,encadenado,0.7675438596491229,0.0,0.2324561403508772,0.0,2.1703216374269005,nan,1368,0.8751902435263277,6.375,0.6286817023048092
azar,0.015625,44,texto_reservado,agregado,0.8084795321637427,0.08991228070175439,0.10160818713450293,0.0,5.437751004016064,5.739837398373984,1368,0.8751902435263277,6.375,0.6286817023048092
azar,0.015625,44,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.8751902435263277,6.375,0.6286817023048092
azar,0.015625,44,imagen_test,directo,0.10234375,0.89765625,0.0,nan,0.0,1.0,1280,0.8455955303566978,7.125,0.6486238143195993
azar,0.015625,44,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.5353053435114505,8.0,1280,0.8455955303566978,7.125,0.6486238143195993
azar,0.015625,44,imagen_test,agregado,0.73125,0.26875,0.0,nan,6.208333333333333,6.898255813953488,1280,0.8455955303566978,7.125,0.6486238143195993
azar,0.015625,44,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.8455955303566978,7.125,0.6486238143195993
azar,0.03125,42,texto_formacion,directo,0.4625,0.3072916666666667,0.23020833333333332,0.2692307692307692,0.0,1.0,1920,0.7436947075003715,7.625,1.1511225529222762
azar,0.03125,42,texto_formacion,encadenado,0.7338541666666667,0.0,0.26614583333333336,0.0,0.8031250000000001,nan,1920,0.7436947075003715,7.625,1.1511225529222762
azar,0.03125,42,texto_formacion,agregado,0.8713541666666667,0.0010416666666666667,0.12760416666666666,0.0,6.625651720542232,7.0,1920,0.7436947075003715,7.625,1.1511225529222762
azar,0.03125,42,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.7436947075003715,7.625,1.1511225529222762
azar,0.03125,42,texto_reservado,directo,0.3669590643274854,0.5431286549707602,0.08991228070175439,0.16260162601626016,0.0,1.0,1368,0.7436947075003715,7.625,1.1511225529222762
azar,0.03125,42,texto_reservado,encadenado,0.8647660818713451,0.0,0.13523391812865498,0.0,1.6483918128654973,nan,1368,0.7436947075003715,7.625,1.1511225529222762
azar,0.03125,42,texto_reservado,agregado,0.9327485380116959,0.0,0.06725146198830409,0.0,6.625,nan,1368,0.7436947075003715,7.625,1.1511225529222762
azar,0.03125,42,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.7436947075003715,7.625,1.1511225529222762
azar,0.03125,42,imagen_test,directo,0.10234375,0.89765625,0.0,nan,0.0,1.0,1280,0.7137841318768631,7.625,1.1347341984882413
azar,0.03125,42,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.5562977099236646,8.0,1280,0.7137841318768631,7.625,1.1347341984882413
azar,0.03125,42,imagen_test,agregado,0.7828125,0.2171875,0.0,nan,6.653692614770459,7.5215827338129495,1280,0.7137841318768631,7.625,1.1347341984882413
azar,0.03125,42,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.7137841318768631,7.625,1.1347341984882413
azar,0.03125,43,texto_formacion,directo,0.490625,0.2682291666666667,0.24114583333333334,0.28509719222462204,0.0,1.0,1920,0.7286779318078537,7.875,1.1994560261373648
azar,0.03125,43,texto_formacion,encadenado,0.7140625,0.0,0.2859375,0.0,0.5239583333333333,nan,1920,0.7286779318078537,7.875,1.1994560261373648
azar,0.03125,43,texto_formacion,agregado,0.896875,0.0,0.103125,0.0,6.875,nan,1920,0.7286779318078537,7.875,1.1994560261373648
azar,0.03125,43,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.7286779318078537,7.875,1.1994560261373648
azar,0.03125,43,texto_reservado,directo,0.36622807017543857,0.5095029239766082,0.12426900584795321,0.1588235294117647,0.0,1.0,1368,0.7286779318078537,7.875,1.1994560261373648
azar,0.03125,43,texto_reservado,encadenado,0.7726608187134503,0.0,0.2273391812865497,0.0,1.2280701754385963,nan,1368,0.7286779318078537,7.875,1.1994560261373648
azar,0.03125,43,texto_reservado,agregado,0.9137426900584795,0.0,0.08625730994152046,0.0,6.875,nan,1368,0.7286779318078537,7.875,1.1994560261373648
azar,0.03125,43,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.7286779318078537,7.875,1.1994560261373648
azar,0.03125,43,imagen_test,directo,0.10234375,0.89765625,0.0,nan,0.0,1.0,1280,0.6835381626929837,7.75,1.1929414243166567
azar,0.03125,43,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.481870229007634,8.0,1280,0.6835381626929837,7.75,1.1929414243166567
azar,0.03125,43,imagen_test,agregado,0.7921875,0.2078125,0.0,nan,6.775147928994083,7.654135338345864,1280,0.6835381626929837,7.75,1.1929414243166567
azar,0.03125,43,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.6835381626929837,7.75,1.1929414243166567
azar,0.03125,44,texto_formacion,directo,0.37083333333333335,0.375,0.25416666666666665,0.2151639344262295,0.0,1.0,1920,0.8012663128932308,7.0,0.9410046537107395
azar,0.03125,44,texto_formacion,encadenado,0.6901041666666666,0.0,0.3098958333333333,0.0,1.1453125000000002,nan,1920,0.8012663128932308,7.0,0.9410046537107395
azar,0.03125,44,texto_formacion,agregado,0.828125,0.03333333333333333,0.13854166666666667,0.0,6.038254310344827,5.890625,1920,0.8012663128932308,7.0,0.9410046537107395
azar,0.03125,44,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.8012663128932308,7.0,0.9410046537107395
