fraccion,agente,dominio,propio,registros_directorio,reconocido,acierto_clf,ratio_centroide
0.015625,cup,apple,False,143,1.0,1.0,0.37074923515319824
0.015625,cup,car,False,143,1.0,1.0,0.48925535976886747
0.015625,cup,cow,False,143,1.0,1.0,0.314955735206604
0.015625,cup,cup,True,143,1.0,1.0,0.4325993865728378
0.015625,cup,dog,False,143,1.0,1.0,0.4207887649536133
0.015625,cup,horse,False,143,1.0,1.0,0.4152804583311081
0.015625,cup,pear,False,143,0.0,nan,nan
0.015625,cup,tomato,False,143,1.0,1.0,0.3684978485107422
0.015625,dog,apple,False,143,1.0,1.0,0.30755393803119657
0.015625,dog,car,False,143,1.0,1.0,0.44500906467437745
0.015625,dog,cow,False,143,1.0,1.0,0.31635529100894927
0.015625,dog,cup,False,143,0.0,nan,nan
0.015625,dog,dog,True,143,1.0,1.0,0.43559307157993316
0.015625,dog,horse,False,143,1.0,1.0,0.3897759854793549
0.015625,dog,pear,False,143,1.0,1.0,0.45232799649238586
0.015625,dog,tomato,False,143,1.0,1.0,0.289621838927269
0.015625,horse,apple,False,138,1.0,1.0,0.5443919897079468
0.015625,horse,car,False,138,1.0,1.0,0.3875328987836838
0.015625,horse,cow,False,138,1.0,1.0,0.24271626323461531
0.015625,horse,cup,False,138,1.0,1.0,0.6470271944999695
0.015625,horse,dog,False,138,1.0,1.0,0.5237516164779663
0.015625,horse,horse,True,138,1.0,1.0,0.36608207523822783
0.015625,horse,pear,False,138,0.0,nan,nan
0.015625,horse,tomato,False,138,1.0,1.0,0.3809197723865509
0.015625,pear,apple,False,138,0.0,nan,nan
0.015625,pear,car,False,138,0.0,nan,nan
0.015625,pear,cow,False,138,1.0,1.0,0.3229273080825806
0.015625,pear,cup,False,138,1.0,1.0,0.45291970670223236
0.015625,pear,dog,False,138,1.0,1.0,0.4711841344833374
0.015625,pear,horse,False,138,1.0,1.0,0.345532101392746
0.015625,pear,pear,True,138,1.0,1.0,0.3582118541002274
0.015625,pear,tomato,False,138,1.0,1.0,0.27025007605552676
0.015625,tomato,apple,False,139,0.0,nan,nan
0.015625,tomato,car,False,139,1.0,1.0,0.5160214960575104
0.015625,tomato,cow,False,139,1.0,1.0,0.2684151828289032
0.015625,tomato,cup,False,139,1.0,1.0,0.47060381770133974
0.015625,tomato,dog,False,139,1.0,1.0,0.4062049388885498
0.015625,tomato,horse,False,139,1.0,1.0,0.46002575755119324
0.015625,tomato,pear,False,139,1.0,1.0,0.3351779043674469
0.015625,tomato,tomato,True,139,1.0,1.0,0.3626736462116241
0.03125,apple,apple,True,161,1.0,1.0,0.3683429449796677
0.03125,apple,car,False,161,1.0,1.0,0.4236558526754379
0.03125,apple,cow,False,161,1.0,1.0,0.32428407967090606
0.03125,apple,cup,False,161,1.0,1.0,0.4646612823009491
0.03125,apple,dog,False,161,1.0,1.0,0.4239823162555695
0.03125,apple,horse,False,161,1.0,1.0,0.31533061861991885
0.03125,apple,pear,False,161,1.0,1.0,0.3825285732746124
0.03125,apple,tomato,False,161,1.0,1.0,0.4336590677499771
0.03125,car,apple,False,150,1.0,1.0,0.4746266186237335
0.03125,car,car,True,150,1.0,1.0,0.4659308552742004
0.03125,car,cow,False,150,1.0,1.0,0.25063314735889436
0.03125,car,cup,False,150,1.0,1.0,0.5634807020425796
0.03125,car,dog,False,150,1.0,1.0,0.399600026011467
0.03125,car,horse,False,150,1.0,1.0,0.3487594723701477
0.03125,car,pear,False,150,1.0,1.0,0.29072622060775755
0.03125,car,tomato,False,150,1.0,1.0,0.34250385463237765
0.03125,cow,apple,False,157,1.0,1.0,0.39316153824329375
0.03125,cow,car,False,157,1.0,1.0,0.49461968541145324
0.03125,cow,cow,True,157,1.0,1.0,0.34040145576000214
0.03125,cow,cup,False,157,1.0,1.0,0.3476942598819733
0.03125,cow,dog,False,157,1.0,1.0,0.40910580158233645
0.03125,cow,horse,False,157,1.0,1.0,0.39512828588485716
0.03125,cow,pear,False,157,1.0,1.0,0.40457365810871126
0.03125,cow,tomato,False,157,1.0,1.0,0.34764031171798704
0.03125,cup,apple,False,160,1.0,1.0,0.3659508556127548
0.03125,cup,car,False,160,1.0,1.0,0.4505620837211609
0.03125,cup,cow,False,160,1.0,1.0,0.3606789350509644
0.03125,cup,cup,True,160,1.0,1.0,0.45573360919952394
0.03125,cup,dog,False,160,1.0,1.0,0.4384345144033432
0.03125,cup,horse,False,160,1.0,1.0,0.3909424364566803
0.03125,cup,pear,False,160,1.0,1.0,0.3113777726888657
0.03125,cup,tomato,False,160,1.0,1.0,0.3400770783424377
0.03125,dog,apple,False,159,1.0,1.0,0.3337564945220947
0.03125,dog,car,False,159,1.0,1.0,0.4513537913560867
0.03125,dog,cow,False,159,1.0,1.0,0.3156673014163971
0.03125,dog,cup,False,159,1.0,1.0,0.3413738697767258
0.03125,dog,dog,True,159,1.0,1.0,0.44202081859111786
0.03125,dog,horse,False,159,1.0,1.0,0.36238967478275297
0.03125,dog,pear,False,159,1.0,1.0,0.4272484064102173
0.03125,dog,tomato,False,159,1.0,1.0,0.3566338539123535
0.03125,horse,apple,False,150,1.0,1.0,0.5443919897079468
0.03125,horse,car,False,150,1.0,1.0,0.4030163615942001
0.03125,horse,cow,False,150,1.0,1.0,0.24128361642360688
0.03125,horse,cup,False,150,1.0,1.0,0.4705084562301636
0.03125,horse,dog,False,150,1.0,1.0,0.4979339212179184
0.03125,horse,horse,True,150,1.0,1.0,0.37237903773784636
0.03125,horse,pear,False,150,1.0,1.0,0.3618697911500931
0.03125,horse,tomato,False,150,1.0,1.0,0.4127579003572464
0.03125,pear,apple,False,146,1.0,1.0,0.39106365740299226
0.03125,pear,car,False,146,0.0,nan,nan
0.03125,pear,cow,False,146,1.0,1.0,0.3078999102115631
0.03125,pear,cup,False,146,1.0,1.0,0.44697554409503937
0.03125,pear,dog,False,146,1.0,1.0,0.4711841344833374
0.03125,pear,horse,False,146,1.0,1.0,0.3627734243869781
0.03125,pear,pear,True,146,1.0,1.0,0.36738368570804597
0.03125,pear,tomato,False,146,1.0,1.0,0.289708611369133
0.03125,tomato,apple,False,155,1.0,1.0,0.40085470378398896
0.03125,tomato,car,False,155,1.0,1.0,0.4965829610824585
0.03125,tomato,cow,False,155,1.0,1.0,0.27148634642362596
0.03125,tomato,cup,False,155,1.0,1.0,0.42821958661079407
0.03125,tomato,dog,False,155,1.0,1.0,0.3939922899007797
0.03125,tomato,horse,False,155,1.0,1.0,0.3300196498632431
0.03125,tomato,pear,False,155,1.0,1.0,0.33535789251327514
0.03125,tomato,tomato,True,155,1.0,1.0,0.35562862157821656
0.0625,apple,apple,True,185,1.0,1.0,0.3771598607301712
0.0625,apple,car,False,185,1.0,1.0,0.4101697951555252
0.0625,apple,cow,False,185,1.0,1.0,0.3028159856796265
0.0625,apple,cup,False,185,1.0,1.0,0.4464790403842926
0.0625,apple,dog,False,185,1.0,1.0,0.4249446362257004
0.0625,apple,horse,False,185,1.0,1.0,0.37003236413002016
0.0625,apple,pear,False,185,1.0,1.0,0.38961667716503146
0.0625,apple,tomato,False,185,1.0,1.0,0.41198751926422117
0.0625,car,apple,False,182,1.0,1.0,0.3894196718931198
0.0625,car,car,True,182,1.0,1.0,0.4569806486368179
0.0625,car,cow,False,182,1.0,1.0,0.31987364590168
0.0625,car,cup,False,182,1.0,1.0,0.5136052578687668
0.0625,car,dog,False,182,1.0,1.0,0.4310709059238434
0.0625,car,horse,False,182,1.0,1.0,0.37163765728473663
0.0625,car,pear,False,182,1.0,1.0,0.3686878442764282
0.0625,car,tomato,False,182,1.0,1.0,0.353596967458725
0.0625,cow,apple,False,186,1.0,1.0,0.3713113874197006
0.0625,cow,car,False,186,1.0,1.0,0.4801681607961655
0.0625,cow,cow,True,186,1.0,1.0,0.3348789721727371
0.0625,cow,cup,False,186,1.0,1.0,0.34334487915039064
0.0625,cow,dog,False,186,1.0,1.0,0.44847577810287476
0.0625,cow,horse,False,186,1.0,1.0,0.4240404814481735
0.0625,cow,pear,False,186,1.0,1.0,0.39284399449825286
0.0625,cow,tomato,False,186,1.0,1.0,0.3645775705575943
0.0625,cup,apple,False,189,1.0,1.0,0.4320871651172638
0.0625,cup,car,False,189,1.0,1.0,0.45294819176197054
0.0625,cup,cow,False,189,1.0,1.0,0.32130295038223267
0.0625,cup,cup,True,189,1.0,1.0,0.4570559024810791
0.0625,cup,dog,False,189,1.0,1.0,0.4319281667470932
0.0625,cup,horse,False,189,1.0,1.0,0.36914091408252714
0.0625,cup,pear,False,189,1.0,1.0,0.36035623848438264
0.0625,cup,tomato,False,189,1.0,1.0,0.3452859789133072
0.0625,dog,apple,False,188,1.0,1.0,0.3405258059501648
0.0625,dog,car,False,188,1.0,1.0,0.4684290707111359
0.0625,dog,cow,False,188,1.0,1.0,0.27281891405582426
0.0625,dog,cup,False,188,1.0,1.0,0.45144025683403016
0.0625,dog,dog,True,188,1.0,1.0,0.4373839020729065
0.0625,dog,horse,False,188,1.0,1.0,0.3810074746608734
0.0625,dog,pear,False,188,1.0,1.0,0.4139257311820984
0.0625,dog,tomato,False,188,1.0,1.0,0.3883046001195908
0.0625,horse,apple,False,183,1.0,1.0,0.4667666494846344
0.0625,horse,car,False,183,1.0,1.0,0.44081470370292664
0.0625,horse,cow,False,183,1.0,1.0,0.31455824077129363
0.0625,horse,cup,False,183,1.0,1.0,0.4395726382732391
0.0625,horse,dog,False,183,1.0,1.0,0.45499283373355864
0.0625,horse,horse,True,183,1.0,1.0,0.3694437503814697
0.0625,horse,pear,False,183,1.0,1.0,0.40492658615112304
0.0625,horse,tomato,False,183,1.0,1.0,0.38697356879711153
0.0625,pear,apple,False,183,1.0,1.0,0.35463361740112304
0.0625,pear,car,False,183,1.0,1.0,0.48758274912834165
0.0625,pear,cow,False,183,1.0,1.0,0.2890754520893097
0.0625,pear,cup,False,183,1.0,1.0,0.4353633224964142
0.0625,pear,dog,False,183,1.0,1.0,0.41404072344303133
0.0625,pear,horse,False,183,1.0,1.0,0.3621707558631897
0.0625,pear,pear,True,183,1.0,1.0,0.35964099168777464
0.0625,pear,tomato,False,183,1.0,1.0,0.33883009254932406
0.0625,tomato,apple,False,181,1.0,1.0,0.39167713224887846
0.0625,tomato,car,False,181,1.0,1.0,0.4759414970874786
0.0625,tomato,cow,False,181,1.0,1.0,0.2656730696558952
0.0625,tomato,cup,False,181,1.0,1.0,0.42642278373241427
0.0625,tomato,dog,False,181,1.0,1.0,0.41484686732292175
0.0625,tomato,horse,False,181,1.0,1.0,0.3465052455663681
0.0625,tomato,pear,False,181,1.0,1.0,0.3213373601436615
0.0625,tomato,tomato,True,181,1.0,1.0,0.37036043405532837
0.125,apple,apple,True,232,1.0,1.0,0.38391928374767303
0.125,apple,car,False,232,1.0,1.0,0.4273045301437378
0.125,apple,cow,False,232,1.0,1.0,0.32634408473968507
0.125,apple,cup,False,232,1.0,1.0,0.45377040803432467
0.125,apple,dog,False,232,1.0,1.0,0.4126331448554993
0.125,apple,horse,False,232,1.0,1.0,0.37155172526836394
0.125,apple,pear,False,232,1.0,1.0,0.39252784550189973
0.125,apple,tomato,False,232,1.0,1.0,0.40745938420295713
0.125,car,apple,False,235,1.0,1.0,0.4274992078542709
0.125,car,car,True,235,1.0,1.0,0.4543804258108139
0.125,car,cow,False,235,1.0,1.0,0.3499928891658783
0.125,car,cup,False,235,1.0,1.0,0.5286994814872742
0.125,car,dog,False,235,1.0,1.0,0.42684448659420016
0.125,car,horse,False,235,1.0,1.0,0.3618765026330948
0.125,car,pear,False,235,1.0,1.0,0.39392087757587435
0.125,car,tomato,False,235,1.0,1.0,0.3759260892868042
0.125,cow,apple,False,249,1.0,1.0,0.4382468551397324
0.125,cow,car,False,249,1.0,1.0,0.4853255867958069
0.125,cow,cow,True,249,1.0,1.0,0.36609123945236205
0.125,cow,cup,False,249,1.0,1.0,0.39274345338344574
0.125,cow,dog,False,249,1.0,1.0,0.46565126776695254
0.125,cow,horse,False,249,1.0,1.0,0.42834328711032865
0.125,cow,pear,False,249,1.0,1.0,0.37168861627578736
0.125,cow,tomato,False,249,1.0,1.0,0.41385091841220856
0.125,cup,apple,False,243,1.0,1.0,0.4224211901426315
0.125,cup,car,False,243,1.0,1.0,0.46484276950359343
0.125,cup,cow,False,243,1.0,1.0,0.32380942404270174
0.125,cup,cup,True,243,1.0,1.0,0.4739054262638092
0.125,cup,dog,False,243,1.0,1.0,0.4576359897851944
0.125,cup,horse,False,243,1.0,1.0,0.37927269041538236
0.125,cup,pear,False,243,1.0,1.0,0.36118267476558685
0.125,cup,tomato,False,243,1.0,1.0,0.35296930372714996
0.125,dog,apple,False,260,1.0,1.0,0.37427004873752595
0.125,dog,car,False,260,1.0,1.0,0.4718824476003647
0.125,dog,cow,False,260,1.0,1.0,0.34715625941753386
0.125,dog,cup,False,260,1.0,1.0,0.4762706071138382
0.125,dog,dog,True,260,1.0,1.0,0.43530899882316587
0.125,dog,horse,False,260,1.0,1.0,0.40791244208812716
0.125,dog,pear,False,260,1.0,1.0,0.40451820492744445
0.125,dog,tomato,False,260,1.0,1.0,0.4030830055475235
0.125,horse,apple,False,244,1.0,1.0,0.43732060492038727
0.125,horse,car,False,244,1.0,1.0,0.4802885890007019
0.125,horse,cow,False,244,1.0,1.0,0.3046905368566513
0.125,horse,cup,False,244,1.0,1.0,0.4871897310018539
0.125,horse,dog,False,244,1.0,1.0,0.45868282616138456
0.125,horse,horse,True,244,1.0,1.0,0.3956239938735962
0.125,horse,pear,False,244,1.0,1.0,0.38221528828144075
0.125,horse,tomato,False,244,1.0,1.0,0.42039635181427004
0.125,pear,apple,False,243,1.0,1.0,0.37652347087860105
0.125,pear,car,False,243,1.0,1.0,0.4616714507341385
0.125,pear,cow,False,243,1.0,1.0,0.2874612033367157
0.125,pear,cup,False,243,1.0,1.0,0.47656298279762266
0.125,pear,dog,False,243,1.0,1.0,0.4120225578546524
0.125,pear,horse,False,243,1.0,1.0,0.38276137709617614
0.125,pear,pear,True,243,1.0,1.0,0.3863246917724609
0.125,pear,tomato,False,243,1.0,1.0,0.3627084672451019
0.125,tomato,apple,False,241,1.0,1.0,0.38998237550258635
0.125,tomato,car,False,241,1.0,1.0,0.45672916769981386
0.125,tomato,cow,False,241,1.0,1.0,0.3125112622976303
0.125,tomato,cup,False,241,1.0,1.0,0.4811865627765656
0.125,tomato,dog,False,241,1.0,1.0,0.42101178765296937
0.125,tomato,horse,False,241,1.0,1.0,0.3720887005329132
0.125,tomato,pear,False,241,1.0,1.0,0.3821259468793869
0.125,tomato,tomato,True,241,1.0,1.0,0.3771804213523865
0.25,apple,apple,True,346,1.0,1.0,0.4020193636417389
0.25,apple,car,False,346,1.0,1.0,0.46447649598121643
0.25,apple,cow,False,346,1.0,1.0,0.3612294375896454
0.25,apple,cup,False,346,1.0,1.0,0.4930812120437622
0.25,apple,dog,False,346,1.0,1.0,0.4521804988384247
0.25,apple,horse,False,346,1.0,1.0,0.41214941442012787
0.25,apple,pear,False,346,1.0,1.0,0.39034415781497955
0.25,apple,tomato,False,346,1.0,1.0,0.4160306006669998
0.25,car,apple,False,346,1.0,1.0,0.42185948193073275
0.25,car,car,True,346,1.0,1.0,0.4674406319856644
0.25,car,cow,False,346,1.0,1.0,0.3609542280435562
0.25,car,cup,False,346,1.0,1.0,0.5314464151859284
0.25,car,dog,False,346,1.0,1.0,0.4370990425348282
0.25,car,horse,False,346,1.0,1.0,0.4162249952554703
0.25,car,pear,False,346,1.0,1.0,0.38932613134384153
0.25,car,tomato,False,346,1.0,1.0,0.4049547016620636
0.25,cow,apple,False,364,1.0,1.0,0.44673008620738985
0.25,cow,car,False,364,1.0,1.0,0.4732281982898712
0.25,cow,cow,True,364,1.0,1.0,0.36577544510364535
0.25,cow,cup,False,364,1.0,1.0,0.47638804018497466
0.25,cow,dog,False,364,1.0,1.0,0.45120894014835355
0.25,cow,horse,False,364,1.0,1.0,0.4132212519645691
0.25,cow,pear,False,364,1.0,1.0,0.41955416202545165
0.25,cow,tomato,False,364,1.0,1.0,0.3961296588182449
0.25,cup,apple,False,354,1.0,1.0,0.4162542551755905
0.25,cup,car,False,354,1.0,1.0,0.4795512318611145
0.25,cup,cow,False,354,1.0,1.0,0.3799130320549011
0.25,cup,cup,True,354,1.0,1.0,0.45644156634807587
0.25,cup,dog,False,354,1.0,1.0,0.4568813323974609
0.25,cup,horse,False,354,1.0,1.0,0.38547208309173586
0.25,cup,pear,False,354,1.0,1.0,0.4201322764158249
0.25,cup,tomato,False,354,1.0,1.0,0.3696805238723755
0.25,dog,apple,False,390,1.0,1.0,0.4115229308605194
0.25,dog,car,False,390,1.0,1.0,0.46590366661548616
0.25,dog,cow,False,390,1.0,1.0,0.4020384669303894
0.25,dog,cup,False,390,1.0,1.0,0.46637523770332334
0.25,dog,dog,True,390,1.0,1.0,0.44696728587150575
0.25,dog,horse,False,390,1.0,1.0,0.41141766011714936
0.25,dog,pear,False,390,1.0,1.0,0.40941756665706636
0.25,dog,tomato,False,390,1.0,1.0,0.4082101106643677
0.25,horse,apple,False,348,1.0,1.0,0.4420658051967621
0.25,horse,car,False,348,1.0,1.0,0.4719262391328812
0.25,horse,cow,False,348,1.0,1.0,0.3179735064506531
0.25,horse,cup,False,348,1.0,1.0,0.4878500491380692
0.25,horse,dog,False,348,1.0,1.0,0.48392167687416077
0.25,horse,horse,True,348,1.0,1.0,0.41678662598133087
0.25,horse,pear,False,348,1.0,1.0,0.3992962121963501
0.25,horse,tomato,False,348,1.0,1.0,0.4464704066514969
0.25,pear,apple,False,352,1.0,1.0,0.405598920583725
0.25,pear,car,False,352,1.0,1.0,0.4809617459774017
0.25,pear,cow,False,352,1.0,1.0,0.3121785640716553
0.25,pear,cup,False,352,1.0,1.0,0.5072320938110352
0.25,pear,dog,False,352,1.0,1.0,0.4271815448999405
0.25,pear,horse,False,352,1.0,1.0,0.4246895670890808
0.25,pear,pear,True,352,1.0,1.0,0.38885198831558226
0.25,pear,tomato,False,352,1.0,1.0,0.3982167303562164
0.25,tomato,apple,False,360,1.0,1.0,0.44229532182216647
0.25,tomato,car,False,360,1.0,1.0,0.4734999477863312
0.25,tomato,cow,False,360,1.0,1.0,0.3845059186220169
0.25,tomato,cup,False,360,1.0,1.0,0.48829405903816225
0.25,tomato,dog,False,360,1.0,1.0,0.4309925317764282
0.25,tomato,horse,False,360,1.0,1.0,0.3988970547914505
0.25,tomato,pear,False,360,1.0,1.0,0.40019009113311765
0.25,tomato,tomato,True,360,1.0,1.0,0.3879808098077774
0.5,apple,apple,True,571,1.0,1.0,0.4484643578529358
0.5,apple,car,False,571,1.0,1.0,0.5087863087654114
0.5,apple,cow,False,571,1.0,1.0,0.42099911272525786
0.5,apple,cup,False,571,1.0,1.0,0.5127547293901443
0.5,apple,dog,False,571,1.0,1.0,0.44512195587158204
0.5,apple,horse,False,571,1.0,1.0,0.43514912724494936
0.5,apple,pear,False,571,1.0,1.0,0.4206562340259552
0.5,apple,tomato,False,571,1.0,1.0,0.42870837152004243
0.5,car,apple,False,557,1.0,1.0,0.4447433680295944
